arm_id;arm_data_ini;arm_data_fin;arm_altezza;arm_lunghezza_sbraccio;arm_numero_lampade;arm_lmp_potenza_nominale;tar_cod;tar_descr;tmo_id;tpo_cod;tpo_descr;sgn_id;sgn_data_inserimento;tcs_id;tcs_descr;tci_id;tci_descr
206499;1/8/2016;31/12/2019;0.0;0.0;1.0;70.0;NN;Non noto;189.0;SB;Sbraccio su palo;;;;;;
593956;1/11/2020;30/12/2021;400.0;0.0;1.0;125.0;SF;Sfera;1496.0;TP;Testapalo;;;;;;
731699;1/1/2022;31/1/2022;400.0;0.0;1.0;125.0;SF;Sfera;599.0;TP;Testapalo;;;;;;
991564;1/7/2023;13/2/2026;900.0;;1.0;100.0;AS;Armatura stradale;189.0;TP;Testapalo;;;;;;
1151492;1/1/2024;13/2/2026;900.0;150.0;1.0;35.0;AS;Armatura stradale;2168.0;SB;Sbraccio su palo;;;;;;
372461;8/6/2018;13/2/2026;1200.0;0.0;1.0;250.0;AS;Armatura stradale;1205.0;NN;Non noto;;;;;;
412844;4/11/2019;13/2/2026;450.0;150.0;1.0;150.0;AS;Armatura stradale;189.0;ME;Mensola;;;;;;
989277;1/7/2023;13/2/2026;1000.0;100.0;1.0;250.0;AS;Armatura stradale;189.0;SB;Sbraccio su palo;;;;;;
126989;1/1/2018;31/10/2020;0.0;0.0;1.0;40.0;AS;Armatura stradale;550.0;SB;Sbraccio su palo;;;;;;
70923;1/1/2018;19/5/2020;0.0;0.0;1.0;54.0;AS;Armatura stradale;550.0;NN;Non noto;;;;;;
537378;1/1/2020;31/12/2024;700.0;200.0;1.0;100.0;AS;Armatura stradale;262.0;SB;Sbraccio su palo;;;;;;
758215;31/12/2021;31/12/2021;750.0;0.0;1.0;30.0;AS;Armatura stradale;611.0;SB;Sbraccio su palo;;;;;;
1168356;1/1/2025;13/2/2026;700.0;100.0;1.0;70.0;AS;Armatura stradale;206.0;SB;Sbraccio su palo;;;;;;
612977;1/11/2020;30/12/2021;900.0;0.0;1.0;125.0;AS;Armatura stradale;189.0;NN;Non noto;;;;;;
1188253;1/8/2025;13/2/2026;900.0;;1.0;52.0;AS;Armatura stradale;1867.0;TP;Testapalo;;;;;;
270610;17/10/2016;13/2/2026;0.0;0.0;1.0;70.0;NN;Non noto;189.0;NN;Non noto;;;;;;
