arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine
298095,10/11/2016,31/12/2019,700.0,0.0,1.0,100.0,AS,Armatura stradale,1278.0,NN,Non noto,,,,,,,41.90776642599537,12.603730997071393
640582,1/11/2020,13/2/2026,0.0,0.0,1.0,70.0,SF,Sfera,189.0,TP,Testapalo,,,,,,,41.84825828151477,12.413595501942277
1295388,26/1/2026,13/2/2026,100.0,,,10.0,BD,Bollard,2375.0,TP,Testapalo,,,,,,,41.71832932964602,12.505264999279724
825652,1/5/2021,31/12/2023,800.0,0.0,1.0,100.0,AS,Armatura stradale,,TP,Testapalo,,,,,,,41.93007919577846,12.468800473955437
828686,1/5/2021,31/12/2023,800.0,1.0,1.0,100.0,AS,Armatura stradale,,SB,Sbraccio su palo,,,,,,,41.82111504020731,12.514480375184236
1145864,1/1/2025,13/2/2026,500.0,,1.0,20.0,AU,Arredo urbano,225.0,TP,Testapalo,,,,,,,41.81955839413052,12.332497621832587
1223104,1/6/2025,13/2/2026,1100.0,,1.0,41.0,PR,Proiettore,747.0,PI,Pipetta,,,,,,,42.00541400877935,12.526361578584785
621693,9/12/2020,31/5/2022,950.0,200.0,1.0,50.0,AS,Armatura stradale,613.0,SB,Sbraccio su palo,,,,,,,42.00280555936857,12.437152571998766
401330,6/8/2019,13/2/2026,500.0,10.0,1.0,70.0,AU,Arredo urbano,599.0,SB,Sbraccio su palo,,,,,,,41.923956970275654,12.40241495438865
297231,10/11/2016,13/2/2026,1000.0,0.0,1.0,100.0,NN,Non noto,215.0,NN,Non noto,,,,,,,41.940670350423105,12.636613484208588
951740,1/2/2022,13/2/2026,700.0,0.0,1.0,37.0,AS,Armatura stradale,750.0,TP,Testapalo,,,,,,,41.81240060462005,12.63094310905569
172653,21/9/2018,13/2/2026,0.0,,1.0,70.0,LA,Lanterna artistica ,189.0,ME,Mensola,,,,,,,41.98981598824367,12.49236758181817
208333,1/8/2016,31/12/2019,0.0,0.0,1.0,80.0,NN,Non noto,189.0,SB,Sbraccio su palo,,,,,,,41.956877132083214,12.527293652056159
792801,1/1/2022,31/12/2025,800.0,,1.0,23.0,AS,Armatura stradale,2297.0,SB,Sbraccio su palo,,,,,,,41.96039897671185,12.52617862919805
714439,1/1/2022,13/5/2022,450.0,0.0,1.0,40.5,AU,Arredo urbano,776.0,TP,Testapalo,,,,,,,41.92008447239995,12.603504627175766
