arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine
1207860,1/8/2025,13/2/2026,750.0,,1.0,60.0,AS,Armatura stradale,2065.0,SB_DR,Sbraccio attacco dritto,,,,,,,41.90762129044394,12.534466928751545
465070,1/1/2020,13/2/2026,800.0,0.0,1.0,50.0,AS,Armatura stradale,605.0,TP,Testapalo,,,,,,,41.88610608704669,12.581037646131197
957570,31/5/2023,10/7/2023,,,1.0,75.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,42.004091817545856,12.287333669533403
438728,1/10/2019,31/10/2020,800.0,0.0,1.0,250.0,AS,Armatura stradale,189.0,NN,Non noto,,,,,,,41.914121494621874,12.473036852281394
104342,1/1/2018,31/12/2021,800.0,300.0,1.0,76.4,AS,Armatura stradale,723.0,SB,Sbraccio su palo,,,,,,,41.9190444289532,12.364740945662481
386842,10/7/2019,31/12/2022,750.0,0.0,1.0,100.0,AS,Armatura stradale,104.0,TP,Testapalo,,,,,,,41.81244213967986,12.622576236222647
566863,1/1/2020,31/5/2022,820.0,0.0,1.0,70.0,AS,Armatura stradale,53.0,TP,Testapalo,,,,,,,41.88265228700148,12.502186002081906
845864,1/7/2022,31/12/2023,900.0,,1.0,150.0,AS,Armatura stradale,157.0,SB,Sbraccio su palo,,,,,,,41.923608281074365,12.43018612281342
1070524,1/1/2024,31/12/2024,800.0,,1.0,30.5,AS,Armatura stradale,749.0,TP,Testapalo,,,,,,,41.82325518054282,12.307881840672671
1265125,1/1/2026,13/2/2026,800.0,,1.0,62.0,AS,Armatura stradale,2294.0,SB,Sbraccio su palo,,,,,,,41.9442491867623,12.5261712797726
1076733,1/11/2023,13/2/2026,800.0,0.0,1.0,60.0,AS,Armatura stradale,2065.0,,,,,,,,,41.845677483677896,12.718072266045901
396495,6/8/2019,13/2/2026,500.0,50.0,1.0,70.0,AU,Arredo urbano,613.0,SB,Sbraccio su palo,,,,,,,41.92263059669899,12.497823527072356
730622,1/1/2022,31/1/2022,400.0,0.0,1.0,125.0,SF,Sfera,599.0,TP,Testapalo,,,,,,,41.74252151139903,12.49117348825078
673634,1/1/2021,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,7.0,SB,Sbraccio su palo,,,,,,,41.99427931322091,12.493323914194356
259859,28/9/2016,31/12/2019,800.0,0.0,1.0,51.0,AS,Armatura stradale,1155.0,NN,Non noto,,,,,,,41.84667190315234,12.446167863092734
499238,1/1/2020,13/2/2026,350.0,0.0,1.0,70.0,AS,Armatura stradale,640.0,TP,Testapalo,,,,,,,41.926060786555915,12.40595155055833
761645,31/12/2021,31/12/2021,750.0,0.0,1.0,125.0,AS,Armatura stradale,611.0,SB,Sbraccio su palo,,,,,,,41.99810882548404,12.311330009732712
1251764,1/1/2025,13/2/2026,800.0,0.0,1.0,37.0,AS,Armatura stradale,749.0,TP,Testapalo,,,,,,,41.83060811477145,12.599096641678472
132852,1/1/2018,31/10/2020,0.0,0.0,1.0,4.0,LA,Lanterna artistica ,189.0,ME,Mensola,,,,,,,41.9209006595571,12.726058196378933
628037,1/11/2020,13/2/2026,0.0,0.0,1.0,41.0,AS,Armatura stradale,749.0,TP,Testapalo,,,,,,,41.927612112965924,12.678893881910163
1256048,1/1/2026,13/2/2026,700.0,163.0,1.0,53.0,AS,Armatura stradale,749.0,SB,Sbraccio su palo,,,,,,,41.850567680733626,12.69576820931635
