arm_altezza,arm_lmp_potenza_nominale,tmo_id,giorni_guasto,giorni_vita_attuale
800,125,189,204.0,203
800,125,189,204.0,203
800,125,189,204.0,203
800,125,189,204.0,203
800,125,189,204.0,203
800,125,189,204.0,203
800,125,189,204.0,203
800,125,189,204.0,203
400,70,189,204.0,203
800,125,189,204.0,203
800,125,189,204.0,203
800,125,189,204.0,203
800,125,189,204.0,203
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,90,189,203.0,142
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,332.0,219
800,125,189,318.0,212
800,125,189,332.0,219
800,125,189,332.0,219
800,125,189,332.0,219
800,125,189,332.0,219
800,125,189,332.0,219
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,346.0,231
800,125,189,346.0,231
400,125,189,346.0,234
400,125,189,346.0,234
400,125,189,346.0,234
800,125,189,346.0,232
800,125,189,346.0,233
400,125,189,346.0,234
400,125,189,346.0,234
800,125,189,346.0,233
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
400,125,189,346.0,234
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,346.0,233
800,125,189,346.0,231
800,125,189,346.0,233
800,125,189,346.0,233
800,125,189,346.0,231
800,125,189,346.0,231
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,331.0,246
800,125,189,331.0,246
800,125,189,331.0,246
800,125,189,331.0,244
800,125,189,331.0,244
800,125,189,331.0,244
800,125,189,331.0,244
800,125,189,331.0,244
800,125,189,331.0,244
800,125,189,331.0,244
800,125,189,331.0,244
800,125,189,346.0,232
800,125,189,331.0,244
800,90,189,204.0,198
800,90,189,204.0,198
800,90,189,204.0,198
800,90,189,204.0,198
800,125,189,346.0,231
800,125,189,346.0,231
800,125,189,331.0,246
800,125,189,346.0,233
800,125,189,331.0,246
800,125,189,332.0,218
800,125,189,332.0,248
800,125,189,332.0,217
800,125,189,332.0,217
800,125,189,332.0,218
800,125,189,332.0,218
800,125,189,332.0,218
800,125,189,332.0,218
800,125,189,332.0,218
800,125,189,332.0,218
800,125,189,332.0,218
800,125,189,332.0,218
800,125,189,332.0,218
800,125,189,332.0,218
800,125,189,331.0,244
800,125,189,331.0,244
800,125,189,331.0,244
800,125,189,331.0,244
800,125,189,332.0,218
800,125,189,332.0,218
800,125,189,204.0,198
800,125,189,204.0,198
800,125,189,331.0,245
800,125,189,331.0,245
800,125,189,331.0,245
800,125,189,331.0,245
800,125,189,331.0,307
0,250,241,1486.0,1460
0,250,1507,1469.0,1460
0,125,257,1483.0,1460
0,150,189,1470.0,1460
900,43,1632,782.0,730
900,60,471,516.0,492
900,60,471,893.0,492
800,150,23,469.0,365
450,70,612,427.0,365
450,100,104,1238.0,1095
800,100,110,1171.0,1095
750,100,23,1240.0,1095
900,150,640,1224.0,1095
800,100,1278,1238.0,1095
800,100,1278,1211.0,1095
800,100,1278,1209.0,1095
500,150,110,1176.0,1095
350,80,599,1252.0,1095
950,250,23,1239.0,1095
300,70,599,798.0,730
800,100,613,762.0,730
800,100,613,800.0,730
800,100,613,800.0,730
700,100,599,782.0,730
700,150,599,782.0,730
850,100,613,762.0,730
900,100,613,741.0,730
900,100,613,741.0,730
800,150,613,770.0,730
700,100,640,733.0,730
500,125,458,1864.0,1826
300,0,189,1892.0,1826
800,150,8,1981.0,1826
700,125,262,2059.0,1826
800,100,137,1081.0,748
0,100,7,229.0,225
800,70,189,36.0,0
800,125,189,318.0,212
800,125,189,318.0,212
800,125,189,331.0,244
800,70,422,492.0,424
800,125,7,543.0,424
50,100,208,467.0,424
700,70,3,480.0,424
400,70,7,434.0,424
800,125,611,452.0,424
600,100,144,446.0,424
20,300,189,128.0,127
20,300,189,128.0,127
20,300,189,128.0,127
800,125,611,509.0,424
450,125,611,431.0,424
800,150,7,444.0,424
750,125,611,528.0,424
750,70,7,450.0,424
400,70,225,522.0,424
800,125,611,496.0,424
600,100,66,473.0,424
400,70,11,561.0,424
400,125,611,467.0,424
800,70,241,444.0,424
200,150,208,513.0,424
700,125,611,498.0,424
700,125,611,549.0,424
350,16,1454,457.0,424
800,100,111,494.0,424
700,60,3,491.0,424
350,70,189,508.0,424
600,70,189,456.0,424
350,70,189,506.0,424
700,70,189,512.0,424
400,70,189,501.0,424
300,70,189,530.0,424
600,70,189,494.0,424
800,125,189,509.0,424
800,38,1460,446.0,424
700,150,2,378.0,364
0,17,1745,934.0,508
0,17,1745,1304.0,508
0,63,358,610.0,508
0,94,358,1294.0,508
500,36,189,597.0,576
900,45.5,1362,674.0,576
700,35,2160,656.0,576
700,35,2160,627.0,576
700,35,2160,627.0,576
700,35,2160,627.0,576
700,35,2160,627.0,576
700,35,2160,627.0,576
500,60,613,1059.0,851
500,60,613,1353.0,851
500,100,613,1353.0,851
500,100,613,1059.0,851
80,3,613,1059.0,851
80,3,613,1353.0,851
500,60,613,1059.0,851
500,60,613,1189.0,851
500,100,613,1189.0,851
500,100,613,1059.0,851
80,3,613,1059.0,851
80,3,613,1189.0,851
400,125,599,469.0,30
300,125,599,468.0,30
700,150,613,452.0,30
100,18,601,922.0,546
30,18,601,1105.0,546
30,18,601,744.0,546
300,70,599,480.0,30
300,70,599,468.0,30
600,100,613,429.0,30
500,150,729,480.0,30
500,150,729,480.0,30
500,150,613,480.0,30
600,125,613,488.0,30
400,70,599,214.0,30
500,60,613,898.0,851
500,100,613,898.0,851
80,3,613,898.0,851
500,60,613,1164.0,851
500,60,613,1175.0,851
500,60,613,1185.0,851
500,60,613,1252.0,851
500,100,613,1164.0,851
500,100,613,1252.0,851
500,100,613,1185.0,851
500,100,613,1175.0,851
80,3,613,1164.0,851
80,3,613,1252.0,851
80,3,613,1185.0,851
80,3,613,1175.0,851
400,125,599,445.0,30
0,100,2366,1389.0,1095
1000,89,2424,1283.0,1185
1200,110,2429,1271.0,1185
1200,110,2429,1271.0,1185
900,61,2443,1293.0,1185
600,150,2520,657.0,548
800,100,189,1156.0,985
800,50,189,1121.0,985
500,100,2992,989.0,730
500,100,2992,785.0,730
700,100,2992,800.0,730
700,100,2992,1061.0,730
900,100,2992,743.0,730
700,100,2992,771.0,730
1200,72,749,1362.0,1246
1200,72,749,1362.0,1246
1200,72,749,1362.0,1246
0,28.8,2993,575.0,373
