arm_altezza,arm_lmp_potenza_nominale,tmo_id,giorni_guasto,giorni_vita_attuale
800,125,189,307.0,223
800,125,189,307.0,223
800,125,189,307.0,223
800,125,189,307.0,223
800,125,189,307.0,223
800,125,189,307.0,223
800,125,189,307.0,223
800,125,189,307.0,223
800,125,189,307.0,223
800,125,189,307.0,223
800,125,189,307.0,223
800,125,189,307.0,223
800,125,189,308.0,253
800,125,189,308.0,253
800,125,189,308.0,253
800,125,189,308.0,253
800,125,189,308.0,253
800,125,189,308.0,253
800,125,189,308.0,253
800,125,189,308.0,253
800,125,189,308.0,253
800,125,189,308.0,253
800,125,189,331.0,253
800,125,189,331.0,253
800,125,189,331.0,253
800,125,189,331.0,253
800,125,189,308.0,266
800,125,189,308.0,265
800,125,189,308.0,265
800,125,189,308.0,266
800,125,189,308.0,266
800,125,189,308.0,266
800,125,189,308.0,266
800,125,189,308.0,266
800,125,189,308.0,269
800,125,189,308.0,269
800,125,189,308.0,269
800,125,189,308.0,268
800,125,189,308.0,268
800,125,189,308.0,268
800,125,189,308.0,268
800,125,189,308.0,268
400,125,189,308.0,260
400,125,189,308.0,260
400,125,189,308.0,260
900,250,189,308.0,269
900,250,189,308.0,269
900,125,189,308.0,269
900,250,189,308.0,269
700,125,189,308.0,266
800,125,189,308.0,260
800,125,189,308.0,260
800,125,189,308.0,266
800,125,189,308.0,266
700,125,189,308.0,266
800,125,189,308.0,260
700,125,189,308.0,266
800,125,189,308.0,272
800,125,189,308.0,272
800,125,189,308.0,272
800,125,189,308.0,272
800,125,189,308.0,272
800,125,189,308.0,260
400,125,189,308.0,272
800,125,189,308.0,260
800,125,189,308.0,260
800,125,189,308.0,260
900,250,189,308.0,269
900,250,189,308.0,269
800,125,189,308.0,272
0,250,189,203.0,129
0,250,189,203.0,129
0,250,189,203.0,129
0,250,189,203.0,129
0,250,189,203.0,129
0,400,189,203.0,129
0,250,189,203.0,129
0,125,189,203.0,129
0,250,189,203.0,129
0,250,189,203.0,129
0,250,189,203.0,129
0,250,189,203.0,129
0,250,189,203.0,129
0,125,189,203.0,129
0,250,189,203.0,129
0,250,189,203.0,129
0,250,189,203.0,129
0,250,189,203.0,129
0,250,189,203.0,129
0,250,189,203.0,129
0,125,189,203.0,129
0,250,189,203.0,129
800,125,189,204.0,203
800,125,189,204.0,203
800,125,189,204.0,203
