arm_altezza,arm_lmp_potenza_nominale,tmo_id,giorni_guasto
300,70,40,2167.0
300,70,40,1124.0
1100,150,66,452.0
1100,150,66,452.0
300,70,170,11.0
300,70,170,11.0
300,70,170,11.0
300,100,170,173.0
800,150,66,257.0
800,150,66,466.0
800,150,66,946.0
800,150,66,125.0
800,150,66,466.0
900,100,66,1788.0
400,70,40,1363.0
400,70,40,1896.0
400,70,40,327.0
400,70,40,1675.0
400,70,40,673.0
400,70,40,2346.0
400,70,40,2346.0
400,70,40,201.0
300,28,189,761.0
300,28,189,550.0
1000,150,592,400.0
1000,150,592,8.0
1000,125,166,430.0
900,100,157,635.0
800,70,37,8.0
600,70,189,8.0
1000,150,66,100.0
400,70,6,1114.0
1000,100,592,8.0
800,70,436,436.0
900,100,2,466.0
400,100,286,1790.0
900,150,7,270.0
900,150,66,619.0
900,150,66,842.0
1500,400,189,11.0
1500,400,189,11.0
1500,400,189,11.0
1500,400,189,11.0
1500,400,189,11.0
1500,400,189,11.0
300,150,170,228.0
300,70,40,10.0
300,70,40,10.0
900,100,8,333.0
300,70,40,10.0
300,70,40,2192.0
900,100,8,130.0
400,70,6,400.0
400,70,6,1798.0
400,70,170,106.0
400,70,170,12.0
900,150,66,139.0
900,150,66,266.0
900,150,66,2370.0
500,100,286,1342.0
0,250,123,586.0
300,70,286,1118.0
900,150,8,1219.0
900,150,66,1394.0
1000,70,167,82.0
1000,70,167,632.0
900,150,66,474.0
900,150,66,474.0
900,150,2,474.0
800,100,597,1460.0
800,100,597,1265.0
1000,100,157,1142.0
1000,100,157,663.0
1000,100,37,9.0
400,70,1,1129.0
400,70,1,565.0
1000,150,8,400.0
1000,150,8,400.0
1000,150,8,479.0
1100,250,193,11.0
900,150,597,1467.0
1100,250,193,400.0
1100,250,193,11.0
1000,150,8,581.0
300,70,347,374.0
300,70,347,374.0
300,70,347,887.0
300,70,347,2175.0
300,70,347,1059.0
300,70,347,1059.0
800,100,66,400.0
1000,150,66,261.0
1000,150,66,9.0
1000,150,66,378.0
1000,150,66,261.0
1000,150,66,378.0
1000,150,66,9.0
1000,150,66,266.0
1000,150,66,9.0
1000,150,66,378.0
1000,150,66,261.0
1000,150,66,296.0
1000,150,66,9.0
1000,150,66,378.0
900,70,138,526.0
900,70,138,378.0
900,70,138,266.0
1000,100,66,261.0
1000,100,66,9.0
1000,100,66,9.0
1000,150,66,1108.0
900,150,2,1545.0
300,70,208,9.0
600,70,552,287.0
500,100,347,9.0
600,36,189,1900.0
600,100,189,1900.0
