arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine,pred_giorni_al_guasto
3993,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,257.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.85477421398341,12.604168608001574,785.2014
3994,1/1/2018,13/2/2026,700.0,0.0,1.0,56.0,AS,Armatura stradale,772.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.876285841281685,12.51746793304064,2305.6719
3995,1/1/2018,13/2/2026,700.0,0.0,1.0,29.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.83233411922825,12.43634467528305,756.1322
3996,1/1/2018,13/2/2026,700.0,0.0,1.0,29.0,AS,Armatura stradale,772.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.85506696775124,12.45781993872818,756.1322
3997,1/1/2018,13/2/2026,700.0,0.0,1.0,56.0,AS,Armatura stradale,772.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.86210976801073,12.67561030780657,2305.6719
3998,1/1/2018,13/2/2026,700.0,0.0,1.0,29.0,AS,Armatura stradale,772.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.79117363474035,12.514673238254582,756.1322
3999,1/1/2018,13/2/2026,700.0,0.0,1.0,29.0,AS,Armatura stradale,772.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.846186797184565,12.584769624619856,756.1322
4000,1/1/2018,13/2/2026,450.0,0.0,1.0,15.0,AU,Arredo urbano,771.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.73484649677593,12.36167451730238,1.0196321e+08
4001,1/1/2018,13/2/2026,450.0,0.0,1.0,15.0,AU,Arredo urbano,771.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.78249703934458,12.431366513142644,1.0196321e+08
4002,1/1/2018,13/2/2026,450.0,0.0,1.0,15.0,AU,Arredo urbano,771.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.77570337142092,12.506274102633686,1.0196321e+08
4003,1/1/2018,13/2/2026,700.0,0.0,1.0,29.0,AS,Armatura stradale,772.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.86799975372493,12.550271994289355,756.1322
4004,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,254.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.74440344167102,12.320177347710704,785.2014
4005,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,254.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.87125752477204,12.65798348292858,785.2014
4006,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,254.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.87625738156597,12.684156007056137,785.2014
4007,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,254.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.81026062193962,12.616808035400778,785.2014
4008,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,254.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.84127014250412,12.44926841868062,785.2014
4009,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,254.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.73972188060904,12.469156133358236,785.2014
4010,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,254.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.86826657031302,12.439099382844915,785.2014
4011,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,254.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.90690552583397,12.363396888205136,785.2014
4012,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,254.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.96833158200375,12.517835197343624,785.2014
4013,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,254.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.85525232287063,12.601113261404532,785.2014
4014,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,254.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.74000441937879,12.358704937591645,785.2014
4015,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,254.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,42.07879719864763,12.34574702261511,785.2014
4016,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,254.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.80680324873544,12.547916633805414,785.2014
4017,1/1/2018,13/2/2026,950.0,0.0,1.0,43.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.75337126471468,12.297340508454608,44.181976
4018,1/1/2018,13/2/2026,950.0,0.0,1.0,43.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.89252087859547,12.632967708889613,44.181976
4019,1/1/2018,13/2/2026,950.0,0.0,1.0,43.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.753220376449725,12.297469546328465,44.181976
4020,1/1/2018,13/2/2026,950.0,0.0,1.0,43.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,42.01022763917705,12.339826163638046,44.181976
4021,1/1/2018,13/2/2026,800.0,0.0,1.0,43.0,AS,Armatura stradale,1306.0,SO,Sospensione,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.90409259444028,12.735447162860522,455.97476
4022,1/1/2018,13/2/2026,800.0,0.0,1.0,43.0,AS,Armatura stradale,1306.0,SO,Sospensione,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.93804631589093,12.58910265395024,455.97476
4023,1/1/2018,13/2/2026,850.0,0.0,1.0,63.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.87587526148945,12.421788113224618,3758.977
4024,1/1/2018,13/2/2026,850.0,0.0,1.0,63.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.85156926314989,12.559871166507934,3758.977
4025,1/1/2018,13/2/2026,850.0,0.0,1.0,63.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.96180345517463,12.46256847918388,3758.977
4026,1/1/2018,13/2/2026,850.0,0.0,1.0,63.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.82508765782685,12.354642626717268,3758.977
4027,1/1/2018,13/2/2026,850.0,0.0,1.0,63.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.784358183297805,12.537451725306372,3758.977
4028,1/1/2018,13/2/2026,850.0,0.0,1.0,63.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.88997588221938,12.47994728565778,3758.977
4029,1/1/2018,13/2/2026,900.0,0.0,1.0,43.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.96132205124351,12.41230354253962,199.67584
4030,1/1/2018,13/2/2026,900.0,0.0,1.0,43.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.78752001899897,12.329994876216668,199.67584
4031,1/1/2018,13/2/2026,900.0,0.0,1.0,43.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.908560852200885,12.505617380949072,199.67584
4032,1/1/2018,13/2/2026,900.0,0.0,1.0,56.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,42.00017660337512,12.427257084287252,1098.993
4033,1/1/2018,13/2/2026,900.0,0.0,1.0,56.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.84997962544698,12.306227113622406,1098.993
4034,1/1/2018,13/2/2026,900.0,0.0,1.0,43.0,AS,Armatura stradale,1306.0,SO,Sospensione,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.79430733747412,12.423675726533377,199.67584
4035,1/1/2018,13/2/2026,900.0,0.0,1.0,56.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.89775076181462,12.537386001804371,1098.993
4036,1/1/2018,13/2/2026,900.0,0.0,1.0,43.0,AS,Armatura stradale,1306.0,SO,Sospensione,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.90698893539642,12.392111944895396,199.67584
4037,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,42.01590723804416,12.25358065495242,649.36536
4038,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,AS,Armatura stradale,189.0,ME,Mensola,,,,,,,41.90322628408517,12.696365303749968,649.36536
4039,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,AS,Armatura stradale,189.0,ME,Mensola,,,,,,,41.82452556370287,12.300804851105289,649.36536
4040,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,AS,Armatura stradale,189.0,ME,Mensola,,,,,,,42.02260858942979,12.435282098268448,649.36536
4041,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.85523952676974,12.437988189836323,649.36536
4042,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.92338858581433,12.298221366509653,649.36536
4043,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.88183497468216,12.677808628840006,649.36536
4044,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.82072731258538,12.454619646780047,649.36536
4045,1/1/2018,13/2/2026,0.0,0.0,1.0,125.0,AS,Armatura stradale,186.0,SB,Sbraccio su palo,,,,,,,41.93293543691632,12.556591068637667,18501.697
4046,1/1/2018,13/2/2026,0.0,0.0,1.0,125.0,AS,Armatura stradale,260.0,NN,Non noto,,,,,,,41.91053014423629,12.375309500013074,18501.697
4047,1/1/2018,13/2/2026,0.0,0.0,1.0,250.0,AS,Armatura stradale,256.0,SB,Sbraccio su palo,,,,,,,41.764177506831686,12.319144193757964,7039.3228
4048,1/1/2018,13/2/2026,0.0,0.0,1.0,125.0,AS,Armatura stradale,260.0,NN,Non noto,,,,,,,41.932677610706016,12.516795011634608,18501.697
4049,1/1/2018,13/2/2026,0.0,0.0,1.0,250.0,AS,Armatura stradale,256.0,SB,Sbraccio su palo,,,,,,,41.72065590491002,12.59247063054788,7039.3228
4050,1/1/2018,13/2/2026,0.0,0.0,1.0,125.0,AS,Armatura stradale,260.0,NN,Non noto,,,,,,,41.86884232271071,12.439888990853149,18501.697
4051,1/1/2018,13/2/2026,0.0,0.0,1.0,250.0,AS,Armatura stradale,256.0,SB,Sbraccio su palo,,,,,,,41.95672435014828,12.517670265790944,7039.3228
4052,1/1/2018,13/2/2026,0.0,0.0,1.0,125.0,AS,Armatura stradale,260.0,NN,Non noto,,,,,,,41.91934841227675,12.415354490752012,18501.697
4053,1/1/2018,13/2/2026,0.0,0.0,1.0,250.0,AS,Armatura stradale,256.0,SB,Sbraccio su palo,,,,,,,41.95527806036301,12.576378777544775,7039.3228
4058,1/1/2018,13/2/2026,0.0,0.0,1.0,150.0,AS,Armatura stradale,189.0,TP,Testapalo,42.0,3/12/2014 11:42:00,23.0,impianto spento,50.0,riarmato contatore,41.79032974335338,12.528460242960117,1269.0559
4059,1/1/2018,13/2/2026,0.0,0.0,1.0,150.0,AS,Armatura stradale,189.0,TP,Testapalo,42.0,3/12/2014 11:42:00,23.0,impianto spento,50.0,riarmato contatore,42.00820615249846,12.49105523698724,1269.0559
4062,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,SF,Sfera,38.0,SB,Sbraccio su palo,,,,,,,42.00329382047808,12.452523326757854,254074.33
