arm_id,arm_altezza,arm_lmp_potenza_nominale,tmo_id,giorni_guasto,giorni_osservati_finora
1117852,550.0,70.0,189.0,0,780.0
1138924,0.0,25.5,189.0,0,1773.0
717402,350.0,21.0,1860.0,0,1510.0
852721,500.0,43.0,2611.0,0,1510.0
888185,800.0,40.0,189.0,0,1541.0
1094636,700.0,27.0,754.0,0,1875.0
1064630,0.0,59.2,719.0,0,780.0
1301446,450.0,15.0,3733.0,0,414.0
399945,800.0,30.0,613.0,0,2389.0
894015,400.0,70.0,189.0,0,1390.0
1199491,800.0,34.0,2406.0,0,324.0
699889,1050.0,75.0,1867.0,0,1510.0
531753,1000.0,20.0,211.0,0,2241.0
1137712,800.0,100.0,66.0,0,355.0
156753,820.0,100.0,241.0,0,2711.0
866839,850.0,28.0,2781.0,0,1510.0
1124966,800.0,150.0,2025.0,0,1510.0
999287,900.0,100.0,189.0,0,964.0
966066,900.0,42.0,2208.0,0,1145.0
309434,0.0,70.0,261.0,0,3366.0
1206836,0.0,70.0,2065.0,0,202.0
163273,0.0,100.0,830.0,0,2711.0
1142774,800.0,57.0,722.0,0,332.0
488953,900.0,150.0,9.0,0,2241.0
372710,1200.0,250.0,1205.0,0,2813.0
938434,0.0,21.0,776.0,0,1145.0
639119,1500.0,400.0,468.0,0,1936.0
456729,550.0,30.0,1619.0,0,2241.0
1212725,500.0,75.0,1867.0,0,171.0
870449,0.0,51.0,2270.0,0,1510.0
925109,900.0,70.0,1220.0,0,1145.0
639460,350.0,40.0,769.0,0,1936.0
177473,900.0,70.0,53.0,0,2699.0
1270810,750.0,23.0,2297.0,0,49.0
636640,0.0,35.0,754.0,0,1936.0
642169,0.0,70.0,189.0,0,1936.0
1069671,400.0,21.5,776.0,0,780.0
991127,900.0,100.0,189.0,0,964.0
1040290,0.0,50.0,189.0,0,720.0
927469,800.0,100.0,104.0,0,1145.0
1212692,650.0,50.0,613.0,0,3702.0
1162285,0.0,41.5,550.0,0,414.0
993210,1000.0,150.0,189.0,0,964.0
1154345,800.0,90.0,2065.0,0,233.0
1271227,450.0,13.0,1344.0,0,49.0
1133441,300.0,20.0,2177.0,0,780.0
739773,0.0,41.0,1718.0,0,1390.0
924467,1000.0,54.0,2947.0,0,1145.0
1231830,650.0,30.0,2089.0,0,414.0
409446,0.0,27.0,830.0,0,2299.0
1020039,400.0,70.0,3417.0,0,1114.0
1102802,750.0,95.0,3360.0,0,780.0
185445,0.0,41.0,1317.0,0,2450.0
1114585,500.0,25.0,3930.0,0,780.0
751654,600.0,21.5,2249.0,0,1510.0
946634,20.0,20.0,3212.0,0,1145.0
1121346,700.0,100.0,2065.0,0,414.0
711181,1300.0,75.0,2108.0,0,1510.0
1256276,800.0,38.0,2297.0,0,49.0
313263,0.0,98.0,124.0,0,3366.0
851234,800.0,56.0,2208.0,0,1510.0
173851,1000.0,125.0,166.0,0,2699.0
1123369,0.0,150.0,1625.0,0,475.0
640529,900.0,100.0,189.0,0,1936.0
783113,800.0,37.0,758.0,0,1510.0
659298,550.0,45.0,1995.0,0,1875.0
1284371,800.0,35.0,1803.0,0,1145.0
1018531,0.0,19.0,1336.0,0,1694.0
399710,700.0,100.0,640.0,0,2389.0
643933,750.0,32.0,751.0,0,1936.0
720003,800.0,94.0,1384.0,0,1528.0
1293575,800.0,18.4,1362.0,0,49.0
328522,0.0,110.0,261.0,0,3366.0
639754,750.0,29.0,772.0,0,1936.0
1002687,1200.0,120.0,189.0,0,933.0
468281,800.0,100.0,1374.0,0,2241.0
1176170,700.0,35.0,189.0,0,233.0
1299666,600.0,15.0,3360.0,0,414.0
749217,600.0,21.0,2259.0,0,1510.0
1245979,800.0,25.2,1051.0,0,263.0
1150495,900.0,27.5,750.0,0,414.0
488674,600.0,35.0,1612.0,0,2241.0
637693,0.0,76.0,550.0,0,1936.0
1056981,800.0,55.0,3707.0,0,780.0
1084529,850.0,54.0,3670.0,0,780.0
1020075,700.0,39.0,3414.0,0,1114.0
183985,800.0,38.0,1311.0,0,2564.0
627065,0.0,100.0,393.0,0,1936.0
460819,450.0,50.0,1051.0,0,2241.0
482646,1000.0,150.0,433.0,0,2241.0
992458,1000.0,100.0,189.0,0,964.0
651738,1200.0,30.0,754.0,0,1936.0
649699,500.0,70.0,211.0,0,1936.0
926809,1100.0,150.0,104.0,0,1145.0
1120444,800.0,100.0,157.0,0,780.0
1060617,900.0,30.0,3723.0,0,780.0
1228011,900.0,80.0,2065.0,0,414.0
1284395,800.0,63.0,358.0,0,1145.0
679325,400.0,50.0,613.0,0,1875.0
850557,900.0,17.0,2208.0,0,1510.0
459461,800.0,30.0,613.0,0,2241.0
341714,0.0,0.0,189.0,0,3278.0
697791,400.0,32.0,189.0,0,1510.0
484568,800.0,70.0,1371.0,0,2241.0
1264408,800.0,35.0,1379.0,0,49.0
166891,820.0,100.0,241.0,0,2711.0
397361,800.0,70.0,613.0,0,2389.0
1288080,500.0,19.0,1811.0,0,49.0
620718,0.0,60.0,144.0,0,1936.0
1146399,900.0,35.0,2089.0,0,414.0
944348,0.0,56.0,122.0,0,1145.0
274264,0.0,100.0,189.0,0,3412.0
1269675,300.0,10.0,2292.0,0,49.0
625122,0.0,38.0,755.0,0,1936.0
471542,950.0,150.0,1373.0,0,2241.0
1257328,700.0,19.0,2297.0,0,49.0
